writer_id,filepath
0001,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0001a.png
0001,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0001b.png
0001,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0001c.png
0002,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0002a.png
0002,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0002b.png
0002,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0002c.png
0003,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0003a.png
0003,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0003b.png
0003,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0003c.png
0004,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0004a.png
0004,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0004aa.png
0004,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0004b.png
0004,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0004bb.png
0004,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0004c.png
0004,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0004cc.png
0005,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0005a.png
0005,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0005aa.png
0005,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0005b.png
0005,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0005c.png
0006,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0006a.png
0006,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0006b.png
0006,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0006c.png
0007,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0007a.png
0007,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0007b.png
0007,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0007c.png
0008,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0008a.png
0008,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0008b.png
0008,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0008c.png
0009,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0009a.png
0009,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0009b.png
0009,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0009c.png
0010,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0010a.png
0010,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0010b.png
0010,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0010c.png
0011,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0011a.png
0011,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0011b.png
0011,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0011c.png
0012,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0012a.png
0012,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0012b.png
0012,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0012c.png
0013,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0013a.png
0013,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0013aa.png
0013,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0013b.png
0013,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0013bb.png
0013,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0013c.png
0013,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0013cc.png
0014,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0014a.png
0014,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0014aa.png
0014,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0014b.png
0014,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0014c.png
0014,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0014cc.png
0015,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0015a.png
0015,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0015b.png
0015,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0015c.png
0016,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0016a.png
0016,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0016b.png
0016,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0016c.png
0017,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0017a.png
0017,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0017b.png
0017,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0017c.png
0018,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0018a.png
0018,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0018b.png
0018,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0018c.png
0019,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0019a.png
0019,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0019aa.png
0019,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0019b.png
0019,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0019c.png
0020,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0020a.png
0020,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0020b.png
0020,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0020c.png
0021,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0021a.png
0021,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0021b.png
0021,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0021bb.png
0021,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0021c.png
0022,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0022a.png
0022,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0022b.png
0022,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0022c.png
0023,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0023a.png
0023,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0023b.png
0023,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0023bb.png
0023,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0023c.png
0023,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0023cc.png
0024,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0024a.png
0024,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0024aa.png
0024,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0024b.png
0024,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0024c.png
0025,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0025a.png
0025,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0025b.png
0025,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0025c.png
0026,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0026a.png
0026,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0026b.png
0026,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0026c.png
0027,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0027a.png
0027,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0027b.png
0027,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0027c.png
0028,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0028a.png
0028,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0028b.png
0028,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0028c.png
0029,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0029a.png
0029,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0029aa.png
0029,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0029b.png
0029,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0029bb.png
0029,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0029c.png
0029,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0029cc.png
0030,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0030a.png
0030,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0030aa.png
0030,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0030b.png
0030,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0030bb.png
0030,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0030c.png
0031,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0031a.png
0031,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0031aa.png
0031,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0031b.png
0031,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0031bb.png
0031,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0031c.png
0031,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0031cc.png
0032,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0032a.png
0032,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0032b.png
0032,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0032c.png
0033,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0033a.png
0033,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0033aa.png
0033,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0033b.png
0033,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0033c.png
0034,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0034a.png
0034,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0034b.png
0034,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0034c.png
0035,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0035a.png
0035,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0035b.png
0035,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0035c.png
0036,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0036a.png
0036,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0036b.png
0036,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0036c.png
0037,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0037a.png
0037,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0037b.png
0037,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0037c.png
0038,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0038a.png
0038,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0038b.png
0038,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0038c.png
0039,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0039a.png
0039,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0039b.png
0039,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0039bb.png
0039,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0039c.png
0040,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0040a.png
0040,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0040b.png
0040,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0040c.png
0041,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0041a.png
0041,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0041b.png
0041,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0041c.png
0042,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0042a.png
0042,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0042aa.png
0042,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0042b.png
0042,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0042bb.png
0042,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0042c.png
0042,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0042cc.png
0043,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0043a.png
0043,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0043b.png
0043,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0043c.png
0044,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0044a.png
0044,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0044b.png
0044,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0044c.png
0045,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0045a.png
0045,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0045b.png
0045,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0045c.png
0046,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0046a.png
0046,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0046b.png
0046,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0046c.png
0047,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0047a.png
0047,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0047b.png
0047,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0047c.png
0048,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0048a.png
0048,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0048b.png
0048,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0048c.png
0049,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0049a.png
0049,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0049b.png
0049,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0049c.png
0050,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0050a.png
0050,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0050b.png
0050,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0050c.png
0051,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0051a.png
0051,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0051b.png
0051,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0051c.png
0052,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0052a.png
0052,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0052b.png
0052,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0052c.png
0053,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0053a.png
0053,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0053b.png
0053,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0053c.png
0054,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0054a.png
0054,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0054b.png
0054,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0054c.png
0055,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0055a.png
0055,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0055b.png
0055,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0055c.png
0056,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0056a.png
0056,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0056b.png
0056,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0056c.png
0057,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0057a.png
0057,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0057b.png
0057,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0057c.png
0058,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0058a.png
0058,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0058aa.png
0058,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0058b.png
0058,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0058c.png
0059,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0059a.png
0059,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0059b.png
0059,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0059c.png
0060,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0060a.png
0060,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0060b.png
0060,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0060c.png
0061,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0061a.png
0061,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0061b.png
0061,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0061c.png
0062,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0062a.png
0062,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0062b.png
0062,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0062c.png
0063,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0063a.png
0063,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0063b.png
0063,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0063c.png
0064,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0064a.png
0064,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0064b.png
0064,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0064c.png
0065,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0065a.png
0065,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0065b.png
0065,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0065c.png
0066,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0066a.png
0066,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0066b.png
0066,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0066c.png
0067,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0067a.png
0067,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0067b.png
0067,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0067c.png
0068,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0068a.png
0068,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0068b.png
0068,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0068c.png
0069,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0069a.png
0069,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0069b.png
0069,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0069c.png
0070,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0070a.png
0070,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0070b.png
0070,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0070c.png
0071,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0071a.png
0071,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0071aa.png
0071,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0071b.png
0071,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0071bb.png
0071,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0071c.png
0071,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0071cc.png
0072,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0072a.png
0072,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0072b.png
0072,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0072c.png
0073,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0073a.png
0073,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0073b.png
0073,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0073c.png
0074,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0074a.png
0074,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0074b.png
0074,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0074c.png
0075,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0075a.png
0075,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0075b.png
0075,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0075c.png
0076,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0076a.png
0076,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0076b.png
0076,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0076c.png
0077,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0077a.png
0077,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0077b.png
0077,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0077c.png
0078,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0078a.png
0078,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0078b.png
0078,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0078c.png
0079,C:\Users\vvrao\PycharmProjects\Handwriting-Verification\data\0079a.png
